"";"ano";"uf";"horasanuais";"massa de rendimentos";"tempo médio";"vinculos"
"1";1994;"AC";1880,50896527713;NA;NA;74677
"2";1994;"AL";1798,07122675804;NA;NA;325973
"3";1994;"AM";1846,6476098464;NA;NA;296027
"4";1994;"AP";1949,72456720482;NA;NA;41128
"5";1994;"BA";1893,16147414965;NA;NA;1232575
"6";1994;"CE";1843,10120328125;NA;NA;761418
"7";1994;"DF";1888,20445023086;NA;NA;795734
"8";1994;"ES";1952,38251445537;NA;NA;577986
"9";1994;"GO";1944,63530915358;NA;NA;671333
"10";1994;"MA";1778,23197509286;NA;NA;292928
"11";1994;"MG";1993,59343774083;NA;NA;3368596
"12";1994;"MS";1965,47353275398;NA;NA;366963
"13";1994;"MT";1985,33711685086;NA;NA;330909
"14";1994;"PA";1858,62572227505;NA;NA;533211
"15";1994;"PB";1740,87090339128;NA;NA;294756
"16";1994;"PE";1910,34602913121;NA;NA;1036826
"17";1994;"PI";1856,27085667441;NA;NA;219570
"18";1994;"PR";1979,29576611147;NA;NA;2111912
"19";1994;"RN";1913,84752639696;NA;NA;337160
"20";1994;"RJ";1951,9313947535;NA;NA;3720765
"21";1994;"RO";1940,77394667209;NA;NA;147390
"22";1994;"RR";1888,64789322898;NA;NA;28622
"23";1994;"RS";1987,20289128513;NA;NA;2633016
"24";1994;"SC";2014,02503248671;NA;NA;1354400
"25";1994;"SE";1833,16155349124;NA;NA;233384
"26";1994;"SP";2014,99067778205;NA;NA;11492544
"27";1994;"TO";1949,78160744905;NA;NA;46073
"28";1995;"AC";1906,83775548632;NA;NA;58418
"29";1995;"AL";1834,46264738851;NA;NA;352385
"30";1995;"AM";1879,01150901457;NA;NA;323920
"31";1995;"AP";1931,06522464148;NA;NA;41978
"32";1995;"BA";1911,85206444046;NA;NA;1327551
"33";1995;"CE";1869,76414233631;NA;NA;831917
"34";1995;"DF";1895,05558263479;NA;NA;810379
"35";1995;"ES";1966,43698521855;NA;NA;623687
"36";1995;"GO";1953,65619916115;NA;NA;743157
"37";1995;"MA";1731,00650700231;NA;NA;308898
"38";1995;"MG";2002,46501299705;NA;NA;3827407
"39";1995;"MS";1973,84083052004;NA;NA;394259
"40";1995;"MT";1960,59737126852;NA;NA;370597
"41";1995;"PA";1818,57748068891;NA;NA;539457
"42";1995;"PB";1805,15308453536;NA;NA;394403
"43";1995;"PE";1928,07549714959;NA;NA;1120890
"44";1995;"PI";1859,74921040253;NA;NA;223215
"45";1995;"PR";1977,94332626766;NA;NA;2251731
"46";1995;"RN";1929,43175839615;NA;NA;362279
"47";1995;"RJ";1959,99061842401;NA;NA;3915760
"48";1995;"RO";1889,03411149447;NA;NA;156223
"49";1995;"RR";1884,81764748567;NA;NA;27562
"50";1995;"RS";1985,01706447552;NA;NA;2650184
"51";1995;"SC";2008,69980415149;NA;NA;1435293
"52";1995;"SE";1836,29703544603;NA;NA;237911
"53";1995;"SP";2018,96569321977;NA;NA;12107286
"54";1995;"TO";1952,82620124067;NA;NA;76088
"55";1996;"AC";1906,63264408271;NA;NA;65917
"56";1996;"AL";1842,76928822875;NA;NA;358781
"57";1996;"AM";1894,77450009022;NA;NA;315907
"58";1996;"AP";1934,79653713265;NA;NA;51518
"59";1996;"BA";1914,35923233629;NA;NA;1330270
"60";1996;"CE";1877,33848461215;NA;NA;833450
"61";1996;"DF";1914,41461839686;NA;NA;794451
"62";1996;"ES";1965,07949559643;NA;NA;622676
"63";1996;"GO";1962,60485646484;NA;NA;746716
"64";1996;"MA";1764,42449130196;NA;NA;314381
"65";1996;"MG";1980,34501606236;NA;NA;3778398
"66";1996;"MS";1967,97615435568;NA;NA;374408
"67";1996;"MT";1967,9611087988;NA;NA;360390
"68";1996;"PA";1834,04461833496;NA;NA;518845
"69";1996;"PB";1798,63087978812;NA;NA;385877
"70";1996;"PE";1932,11661248668;NA;NA;1095423
"71";1996;"PI";1873,6140161309;NA;NA;233217
"72";1996;"PR";1963,67281055089;NA;NA;2172784
"73";1996;"RN";1926,4346614385;NA;NA;370302
"74";1996;"RJ";1959,3179626138;NA;NA;3901921
"75";1996;"RO";1882,99755514655;NA;NA;145612
"76";1996;"RR";1987,33751551545;NA;NA;29809
"77";1996;"RS";1976,05502571847;NA;NA;2505592
"78";1996;"SC";2003,32604245232;NA;NA;1336464
"79";1996;"SE";1838,31258586778;NA;NA;239467
"80";1996;"SP";2016,50332985904;NA;NA;11384566
"81";1996;"TO";1961,53117985335;NA;NA;93554
"82";1997;"AC";1917,08147990709;NA;NA;65869
"83";1997;"AL";1886,08696869967;NA;NA;342744
"84";1997;"AM";1908,52222749124;NA;NA;322641
"85";1997;"AP";1966,24605850369;NA;NA;51313
"86";1997;"BA";1928,3839685579;NA;NA;1369883
"87";1997;"CE";1898,8870268492;NA;NA;854141
"88";1997;"DF";1891,79700445363;NA;NA;816412
"89";1997;"ES";1984,13966317047;NA;NA;635930
"90";1997;"GO";1973,40459693064;NA;NA;802579
"91";1997;"MA";1907,02174958014;NA;NA;337018
"92";1997;"MG";1978,65427049186;NA;NA;3871732
"93";1997;"MS";1966,51573798881;NA;NA;384579
"94";1997;"MT";1971,6519584369;NA;NA;394677
"95";1997;"PA";1834,27430943264;NA;NA;513165
"96";1997;"PB";1817,80747364801;NA;NA;395416
"97";1997;"PE";1931,92680960069;NA;NA;1108670
"98";1997;"PI";1883,79274798806;NA;NA;232239
"99";1997;"PR";1969,80605278353;NA;NA;2237516
"100";1997;"RN";1944,12918121253;NA;NA;359495
"101";1997;"RJ";1960,15689077696;NA;NA;3782810
"102";1997;"RO";1967,16331240768;NA;NA;173312
"103";1997;"RR";1973,07613258555;NA;NA;29777
"104";1997;"RS";1978,8114390445;NA;NA;2544758
"105";1997;"SC";1997,90990531395;NA;NA;1395665
"106";1997;"SE";1873,11754431963;NA;NA;247915
"107";1997;"SP";2017,51843935016;NA;NA;11302215
"108";1997;"TO";1968,4117887365;NA;NA;102810
